# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.1 Build 163 10/28/2008 SJ Full Version
# File: C:\Users\ATWN_Yhlee\Desktop\lcd-driver-CFAH1602BTMCJP\report\lcd-driver.csv
# Generated on: Wed Jul 03 16:34:22 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
CLOCK_50,Input,PIN_AD15,7,B7_N3,,,,,
K0_clk,Input,PIN_T29,6,B6_N0,,,,,
LCD_BLON,Output,PIN_G3,2,B2_N0,,,,,
LCD_DATA[7],Bidir,PIN_B2,2,B2_N0,,,LCD_DATA[7..0],,
LCD_DATA[6],Bidir,PIN_C3,2,B2_N0,,,LCD_DATA[7..0],,
LCD_DATA[5],Bidir,PIN_C2,2,B2_N0,,,LCD_DATA[7..0],,
LCD_DATA[4],Bidir,PIN_C1,2,B2_N0,,,LCD_DATA[7..0],,
LCD_DATA[3],Bidir,PIN_D3,2,B2_N1,,,LCD_DATA[7..0],,
LCD_DATA[2],Bidir,PIN_D2,2,B2_N1,,,LCD_DATA[7..0],,
LCD_DATA[1],Bidir,PIN_E3,2,B2_N0,,,LCD_DATA[7..0],,
LCD_DATA[0],Bidir,PIN_E1,2,B2_N1,,,LCD_DATA[7..0],,
LCD_EN,Output,PIN_E2,2,B2_N1,,,,,
LCD_ON,Output,PIN_F1,2,B2_N2,,,,,
LCD_RS,Output,PIN_F2,2,B2_N2,,,,,
LCD_RW,Output,PIN_F3,2,B2_N0,,,,,
SW[17],Input,PIN_L8,2,B2_N1,,,SW[17..0],,
SW[16],Input,PIN_L7,2,B2_N1,,,SW[17..0],,
SW[15],Input,PIN_L4,2,B2_N2,,,SW[17..0],,
SW[14],Input,PIN_L5,2,B2_N1,,,SW[17..0],,
SW[13],Input,PIN_T9,1,B1_N0,,,SW[17..0],,
SW[12],Input,PIN_U9,1,B1_N0,,,SW[17..0],,
SW[11],Input,PIN_V10,1,B1_N1,,,SW[17..0],,
SW[10],Input,PIN_W5,1,B1_N1,,,SW[17..0],,
SW[9],Input,,,,,,SW[17..0],,
SW[8],Input,EDGE_LEFT,,,,,SW[17..0],,
SW[7],Input,PIN_AD24,6,B6_N3,,,SW[17..0],,
SW[6],Input,PIN_AC23,6,B6_N3,,,SW[17..0],,
SW[5],Input,PIN_AC24,6,B6_N3,,,SW[17..0],,
SW[4],Input,PIN_AC26,6,B6_N3,,,SW[17..0],,
SW[3],Input,PIN_AC27,6,B6_N2,,,SW[17..0],,
SW[2],Input,PIN_AB25,6,B6_N2,,,SW[17..0],,
SW[1],Input,PIN_AB26,6,B6_N2,,,SW[17..0],,
SW[0],Input,PIN_AA23,6,B6_N2,,,SW[17..0],,
,Unknown,PIN_K10,,,,,,,
,Unknown,PIN_J9,,,,,,,
,Unknown,PIN_J8,,,,,,,
,Unknown,PIN_G7,2,B2_N0,,,,,
,Unknown,PIN_K9,2,B2_N0,,,,,
,Unknown,PIN_H7,2,B2_N0,,,,,
,Unknown,PIN_H8,2,B2_N0,,,,,
,Unknown,PIN_G5,2,B2_N0,,,,,
,Unknown,PIN_G6,2,B2_N0,,,,,
,Unknown,PIN_F4,2,B2_N0,,,,,
,Unknown,PIN_H5,2,B2_N0,,,,,
,Unknown,PIN_H6,2,B2_N0,,,,,
,Unknown,PIN_G4,2,B2_N0,,,,,
,Unknown,PIN_E4,2,B2_N0,,,,,
,Unknown,PIN_H3,2,B2_N1,,,,,
,Unknown,PIN_H4,2,B2_N1,,,,,
,Unknown,PIN_J7,2,B2_N1,,,,,
,Unknown,PIN_J6,2,B2_N1,,,,,
,Unknown,PIN_J5,2,B2_N1,,,,,
,Unknown,PIN_K8,2,B2_N1,,,,,
,Unknown,PIN_K7,2,B2_N1,,,,,
,Unknown,PIN_L10,2,B2_N1,,,,,
,Unknown,PIN_L9,2,B2_N1,,,,,
,Unknown,PIN_K6,2,B2_N1,,,,,
,Unknown,PIN_K5,2,B2_N1,,,,,
,Unknown,PIN_L6,2,B2_N1,,,,,
,Unknown,PIN_M9,2,B2_N1,,,,,
,Unknown,PIN_M8,2,B2_N1,,,,,
,Unknown,PIN_G1,2,B2_N2,,,,,
,Unknown,PIN_G2,2,B2_N2,,,,,
,Unknown,PIN_H1,2,B2_N2,,,,,
,Unknown,PIN_H2,2,B2_N2,,,,,
,Unknown,PIN_K3,2,B2_N2,,,,,
,Unknown,PIN_K4,2,B2_N2,,,,,
,Unknown,PIN_N10,2,B2_N2,,,,,
,Unknown,PIN_M10,2,B2_N2,,,,,
,Unknown,PIN_M6,2,B2_N2,,,,,
,Unknown,PIN_M7,2,B2_N2,,,,,
,Unknown,PIN_J1,2,B2_N2,,,,,
,Unknown,PIN_J2,2,B2_N2,,,,,
,Unknown,PIN_M5,2,B2_N2,,,,,
,Unknown,PIN_L3,2,B2_N2,,,,,
,Unknown,PIN_K1,2,B2_N2,,,,,
,Unknown,PIN_K2,2,B2_N2,,,,,
,Unknown,PIN_N8,2,B2_N2,,,,,
,Unknown,PIN_N7,2,B2_N2,,,,,
,Unknown,PIN_L1,2,B2_N3,,,,,
,Unknown,PIN_L2,2,B2_N3,,,,,
,Unknown,PIN_P9,2,B2_N3,,,,,
,Unknown,PIN_N9,2,B2_N3,,,,,
,Unknown,PIN_M1,2,B2_N3,,,,,
,Unknown,PIN_M2,2,B2_N3,,,,,
,Unknown,PIN_M3,2,B2_N3,,,,,
,Unknown,PIN_M4,2,B2_N3,,,,,
,Unknown,PIN_N2,2,B2_N3,,,,,
,Unknown,PIN_N3,2,B2_N3,,,,,
,Unknown,PIN_P7,2,B2_N3,,,,,
,Unknown,PIN_N4,2,B2_N3,,,,,
,Unknown,PIN_P6,2,B2_N3,,,,,
,Unknown,PIN_P3,2,B2_N3,,,,,
,Unknown,PIN_P4,2,B2_N3,,,,,
,Unknown,PIN_P1,2,B2_N3,,,,,
,Unknown,PIN_P2,2,B2_N3,,,,,
,Unknown,PIN_P8,2,B2_N3,,,,,
,Unknown,PIN_P5,2,B2_N3,,,,,
,Unknown,PIN_R7,2,B2_N3,,,,,
,Unknown,PIN_R4,2,B2_N3,,,,,
,Unknown,PIN_R9,2,B2_N3,,,,,
,Unknown,PIN_R8,2,B2_N3,,,,,
,Unknown,PIN_R6,2,B2_N3,,,,,
,Unknown,PIN_R2,2,B2_N3,,,,,
,Unknown,PIN_R3,2,B2_N3,,,,,
,Unknown,PIN_R5,2,B2_N3,,,,,
,Unknown,PIN_T2,1,B1_N0,,,,,
,Unknown,PIN_T3,1,B1_N0,,,,,
,Unknown,PIN_T6,1,B1_N0,,,,,
,Unknown,PIN_T7,1,B1_N0,,,,,
,Unknown,PIN_T4,1,B1_N0,,,,,
,Unknown,PIN_T5,1,B1_N0,,,,,
,Unknown,PIN_U1,1,B1_N0,,,,,
,Unknown,PIN_U2,1,B1_N0,,,,,
,Unknown,PIN_U5,1,B1_N0,,,,,
,Unknown,PIN_T8,1,B1_N0,,,,,
,Unknown,PIN_U8,1,B1_N0,,,,,
,Unknown,PIN_U6,1,B1_N0,,,,,
,Unknown,PIN_U7,1,B1_N0,,,,,
,Unknown,PIN_U3,1,B1_N1,,,,,
,Unknown,PIN_U4,1,B1_N1,,,,,
,Unknown,PIN_V2,1,B1_N1,,,,,
,Unknown,PIN_V3,1,B1_N1,,,,,
,Unknown,PIN_W1,1,B1_N1,,,,,
,Unknown,PIN_W2,1,B1_N1,,,,,
,Unknown,PIN_V4,1,B1_N1,,,,,
,Unknown,PIN_W3,1,B1_N1,,,,,
,Unknown,PIN_W4,1,B1_N1,,,,,
,Unknown,PIN_Y1,1,B1_N1,,,,,
,Unknown,PIN_Y2,1,B1_N1,,,,,
,Unknown,PIN_Y3,1,B1_N1,,,,,
,Unknown,PIN_Y4,1,B1_N1,,,,,
,Unknown,PIN_V9,1,B1_N1,,,,,
,Unknown,PIN_V8,1,B1_N1,,,,,
,Unknown,PIN_V7,1,B1_N1,,,,,
,Unknown,PIN_AA1,1,B1_N1,,,,,
,Unknown,PIN_AA2,1,B1_N1,,,,,
,Unknown,PIN_AA3,1,B1_N1,,,,,
,Unknown,PIN_AA4,1,B1_N1,,,,,
,Unknown,PIN_AB1,1,B1_N1,,,,,
,Unknown,PIN_AB2,1,B1_N1,,,,,
,Unknown,PIN_W9,1,B1_N2,,,,,
,Unknown,PIN_W10,1,B1_N2,,,,,
,Unknown,PIN_W6,1,B1_N2,,,,,
,Unknown,PIN_W8,1,B1_N2,,,,,
,Unknown,PIN_W7,1,B1_N2,,,,,
,Unknown,PIN_Y5,1,B1_N2,,,,,
,Unknown,PIN_AC1,1,B1_N2,,,,,
,Unknown,PIN_AC2,1,B1_N2,,,,,
,Unknown,PIN_AC3,1,B1_N2,,,,,
,Unknown,PIN_AC4,1,B1_N2,,,,,
,Unknown,PIN_AD1,1,B1_N2,,,,,
,Unknown,PIN_AD2,1,B1_N2,,,,,
,Unknown,PIN_AD3,1,B1_N2,,,,,
,Unknown,PIN_AD4,1,B1_N2,,,,,
,Unknown,PIN_AA5,1,B1_N2,,,,,
,Unknown,PIN_AA6,1,B1_N2,,,,,
,Unknown,PIN_Y9,1,B1_N2,,,,,
,Unknown,PIN_Y10,1,B1_N2,,,,,
,Unknown,PIN_Y6,1,B1_N2,,,,,
,Unknown,PIN_Y7,1,B1_N2,,,,,
,Unknown,PIN_Y8,1,B1_N2,,,,,
,Unknown,PIN_AE1,1,B1_N2,,,,,
,Unknown,PIN_AE2,1,B1_N2,,,,,
,Unknown,PIN_AA7,1,B1_N2,,,,,
,Unknown,PIN_AB6,1,B1_N3,,,,,
,Unknown,PIN_AB5,1,B1_N3,,,,,
,Unknown,PIN_AC6,1,B1_N3,,,,,
,Unknown,PIN_AC5,1,B1_N3,,,,,
,Unknown,PIN_AF1,1,B1_N3,,,,,
,Unknown,PIN_AF2,1,B1_N3,,,,,
,Unknown,PIN_AG2,1,B1_N3,,,,,
,Unknown,PIN_AG3,1,B1_N3,,,,,
,Unknown,PIN_AH1,1,B1_N3,,,,,
,Unknown,PIN_AH2,1,B1_N3,,,,,
,Unknown,PIN_AD5,1,B1_N3,,,,,
,Unknown,PIN_AA8,1,B1_N3,,,,,
,Unknown,PIN_AE3,1,B1_N3,,,,,
,Unknown,PIN_AE4,1,B1_N3,,,,,
